"","HUM","BIO","CAF","CTP","CLA","HCT","NIC","TTA","VFX","X.OR","EC","TOC","pH","T","TDS","Na","K","Ca","Mg","Cl","SO4","HCO3","NO3","PO4","SiO2","Al","As","Ba","Cr","Cu","Mn","Mo","Tl","U","V","Zn"
"HUM",1,-0.187001356393691,0.291209567414679,0.258182290183504,0.370273178109657,-0.128777238219227,0.357182634318407,0.295055135159977,0.432341371076926,0.410048902188545,0.125164987296372,0.14021088895024,0.13780100085982,-0.109452171049485,0.13628204150221,0.117258871143115,0.288692821518125,0.319593929769092,0.241139583090133,0.187733166956696,0.185698460226288,0.0945403994992449,0.0247256234376129,0.0369293671054266,-0.0500369303597814,0.0679927021561778,0.120348575421157,0.50116767716172,0.360968931156422,0.287332893693996,0.370979397371566,0.096071802402438,0.366548268522038,0.449028327468542,0.0631409462965571,0.415865059072466
"BIO",-0.187001356393691,1,-0.251905761803183,-0.252434883771063,-0.240340971764721,0.011991171051913,-0.392196335735752,-0.100432024005368,-0.244581591158243,-0.310538103706275,-0.0773912131003553,0.319775655984238,-0.123476117797705,-0.0389303937604031,-0.0765165067732907,-0.114431236990515,-0.00475301857024923,-0.0660685343923264,-0.241155047563647,-0.121414096007264,-0.0671034233893533,-0.103435591011586,0.268047238084298,-0.12974404881565,0.330505127753102,-0.107221513051157,-0.0139895878402332,-0.292312221916644,-0.232314586264397,0.184285035720418,-0.233823920190099,-0.247665258953024,-0.108414357657509,-0.0649858137261441,-0.0133688044548913,-0.237534937331318
"CAF",0.291209567414679,-0.251905761803183,1,0.350614165364258,0.298150761708415,0.244901425715147,0.572757339940158,0.228080673899318,0.392365658245321,0.724461782418024,0.286904081973566,0.107049543506829,-0.294282338267351,0.0832814267624271,0.27611440067762,0.210473010413971,0.29288960210845,0.347686413946015,0.345027625682311,0.21308235599932,0.282999119159251,0.28637203761619,-0.0111167754833833,-0.157073439744078,0.224506022409806,-0.299394514077177,-0.0663949893399349,0.385796485351429,0.129632451274154,0.108519812444601,0.178931866189346,0.311715203605407,0.309473732917557,0.324746199933545,-0.0560449964323869,0.172693897355008
"CTP",0.258182290183504,-0.252434883771063,0.350614165364258,1,0.523096880094889,-0.229502644862518,0.2705508717367,0.0111807338908362,0.532553500564231,0.536743332806714,0.534932536246352,0.0405280188060415,-0.100464467951259,-0.0759936116213365,0.538286360047915,0.55001096915158,0.432134018799525,0.456593365627115,0.424901076555144,0.557623664755874,0.348208337754666,0.447832355386513,0.14091441311454,0.270096841118542,0.191691752987835,-0.170909999206706,0.378580360567286,0.479216457458998,0.161006171074627,0.151724056836464,0.288293691967984,0.460120129850292,-0.00450330210778691,0.422791384127548,-0.0648677921399815,0.305778291496446
"CLA",0.370273178109657,-0.240340971764721,0.298150761708415,0.523096880094889,1,-0.308025316669857,0.296250898448425,0.145518566604493,0.548453210616391,0.381785044126193,0.264717889344296,-0.129376706609457,-0.164737937829013,-0.0460208835547818,0.276089199145765,0.269228477963892,0.357648968881307,0.355829758366335,0.439322985130715,0.268997819982071,0.16056955467331,0.322625653797292,-0.015799136479489,0.103697288931357,0.0913925843117298,0.0221038345188886,0.217418299141586,0.505474022594794,0.26374863055793,0.123382491989952,0.33247860682099,0.306602904237381,0.135421437125468,0.324716050220084,-0.0756661467226932,0.216120316318271
"HCT",-0.128777238219227,0.011991171051913,0.244901425715147,-0.229502644862518,-0.308025316669857,1,0.0798750199931538,0.00692997574699271,-0.386048147029522,0.124301543215791,-0.0957854049454754,0.199122965067552,-0.215630851087111,-0.0735726493867221,-0.108207160657143,-0.0875331783567899,-0.177531375056206,-0.268983939657903,-0.139839869944279,-0.14352140348656,-0.00894069340289565,0.0363017767776993,0.0958422766350238,-0.0730436277108691,0.179653878836146,-0.226981991748537,-0.210153880267376,-0.39293202363202,-0.0921220781251061,-0.0127659042939999,-0.231814370116518,0.00842698616959821,-0.0497723297271519,-0.175796863605962,0.208599439903317,-0.279525972330356
"NIC",0.357182634318407,-0.392196335735752,0.572757339940158,0.2705508717367,0.296250898448425,0.0798750199931538,1,0.00055445419255885,0.372302174865865,0.742735481215144,0.205001754959191,-0.0132543674168301,-0.128187793182644,-0.0860502850118253,0.193823911551893,0.181154601228401,0.0835353370768587,0.152837670077081,0.180536735784623,0.184996143395079,0.314149625687183,0.183909836249542,-0.128276639656303,0.0250372770650075,0.097291196222628,-0.46148119876127,0.0497256514984475,0.0892188099700969,0.0838353500086505,-0.115891155746242,-0.0644000331831406,0.296580864663855,0.181738469305488,0.150920486220482,0.181143021363345,-0.168011765157198
"TTA",0.295055135159977,-0.100432024005368,0.228080673899318,0.0111807338908362,0.145518566604493,0.00692997574699271,0.00055445419255885,1,0.235185275929243,0.299221374180116,0.180910167299614,0.191518914007824,0.138400042080369,0.189855946325054,0.188531551114516,0.168987431726732,0.169534233473644,0.290694242968578,0.304064289050679,0.146402317445615,0.263277086966447,0.344351313762897,-0.215651691143213,-0.0492022834905207,0.0586978189081448,0.220658695855797,0.10377111580677,0.134730464244304,0.355157266235302,0.355302406279981,0.354161146927699,0.281054843665786,0.148027637737161,0.28504198617852,0.0353810041942164,0.324975938742085
"VFX",0.432341371076926,-0.244581591158243,0.392365658245321,0.532553500564231,0.548453210616391,-0.386048147029522,0.372302174865865,0.235185275929243,1,0.478743862717936,0.392968811018361,-0.0578674040224276,-0.060458818946663,-0.140746767005182,0.393083703085643,0.399202400757894,0.59253000198285,0.420173694846221,0.444056652845755,0.390630262934521,0.341887515455821,0.460049322618349,0.0925919955943154,0.265299172853665,0.135695307721495,-0.00192659907762695,0.565516602777892,0.396594174735026,0.452982118037181,0.278448883013974,0.502650295500889,0.476203122427903,0.416807730434589,0.587950812530416,0.0771122975619963,0.274243348126765
"X.OR",0.410048902188545,-0.310538103706275,0.724461782418024,0.536743332806714,0.381785044126193,0.124301543215791,0.742735481215144,0.299221374180116,0.478743862717936,1,0.386232960690989,0.0515712301733857,-0.071831376750724,-0.0159530796763212,0.379899334343914,0.35641850684805,0.263435804520137,0.341009454341958,0.393544629334397,0.325603228721024,0.466758793933913,0.382267567996402,-0.0524240996246108,0.122695740845993,0.151870310759559,-0.289652589224467,0.100613429729434,0.199849596738509,0.348426228211624,0.168149742212488,0.168811826500729,0.469883176754938,0.303880470214919,0.397088377636553,0.101062092250605,0.116293653051352
"EC",0.125164987296372,-0.0773912131003553,0.286904081973566,0.534932536246352,0.264717889344296,-0.0957854049454754,0.205001754959191,0.180910167299614,0.392968811018361,0.386232960690989,1,0.462751125766227,-0.427523548676534,0.199134081506778,0.997318227646367,0.975329791663966,0.783869978568517,0.888239060522523,0.858052092049876,0.937127189985131,0.873776899105094,0.813500066243348,0.464450659079387,0.322724589457296,0.542437852338527,-0.330100390979082,0.423361267418409,0.271822306225644,0.0798710669336515,0.366384554446424,0.246804746524702,0.844868164674254,-0.0732188138123765,0.617304177239811,-0.174284313276516,0.240933221846655
"TOC",0.14021088895024,0.319775655984238,0.107049543506829,0.0405280188060415,-0.129376706609457,0.199122965067552,-0.0132543674168301,0.191518914007824,-0.0578674040224276,0.0515712301733857,0.462751125766227,1,-0.465714442770385,0.100334359041539,0.447143797818579,0.399562028439343,0.430990596485907,0.466703084903432,0.365886270960656,0.457968461352519,0.344738192454887,0.233390033807822,0.496448568323709,0.053031090108929,0.50829368159697,-0.16637459312393,0.0343808201155904,0.0523279496310904,-0.0984411352903268,0.453916082629812,0.232202817527396,0.145751740361939,-0.189711417992765,0.249957015398942,-0.162416548101127,0.146571716558202
"pH",0.13780100085982,-0.123476117797705,-0.294282338267351,-0.100464467951259,-0.164737937829013,-0.215630851087111,-0.128187793182644,0.138400042080369,-0.060458818946663,-0.071831376750724,-0.427523548676534,-0.465714442770385,1,-0.128726547108409,-0.425608760864627,-0.360557320057292,-0.490823790472387,-0.387029405659933,-0.468265748680428,-0.347235487849701,-0.328312960916367,-0.316444030385301,-0.626376855785138,-0.0911331247750169,-0.622084781179549,0.216676828065043,-0.0352586940758127,-0.00703701439333387,0.190111424974809,-0.316210492695217,-0.181023873340429,-0.252219436971939,0.111895683228548,-0.179634113097042,0.100968642410266,0.089337537830336
"T",-0.109452171049485,-0.0389303937604031,0.0832814267624271,-0.0759936116213365,-0.0460208835547818,-0.0735726493867221,-0.0860502850118253,0.189855946325054,-0.140746767005182,-0.0159530796763212,0.199134081506778,0.100334359041539,-0.128726547108409,1,0.203715087858189,0.167398467261305,0.0138254948151142,0.240776505744497,0.242703884065834,0.214125007181865,0.116741525212689,0.240291817779157,-0.025824066294126,-0.212293079321161,-0.0302598546609959,-0.232980424584973,-0.234910468773321,0.0800814820789486,-0.0732247160443941,-0.111890620880139,-0.0543902315632507,0.0921174472430842,-0.269222722513049,-0.0541165161353242,-0.429886972518227,-0.102321187959787
"TDS",0.13628204150221,-0.0765165067732907,0.27611440067762,0.538286360047915,0.276089199145765,-0.108207160657143,0.193823911551893,0.188531551114516,0.393083703085643,0.379899334343914,0.997318227646367,0.447143797818579,-0.425608760864627,0.203715087858189,1,0.975285015744634,0.788481133656795,0.888579900938257,0.859793268790696,0.938521652544805,0.867241119892866,0.815707764045707,0.46072481656698,0.322540022026929,0.544747999761105,-0.308830197952925,0.428289970015387,0.275962037031797,0.0750376132452334,0.378240437287486,0.259158623256864,0.838380846609605,-0.0832063462490981,0.617412451031373,-0.174326987255261,0.260469910134985
"Na",0.117258871143115,-0.114431236990515,0.210473010413971,0.55001096915158,0.269228477963892,-0.0875331783567899,0.181154601228401,0.168987431726732,0.399202400757894,0.35641850684805,0.975329791663966,0.399562028439343,-0.360557320057292,0.167398467261305,0.975285015744634,1,0.780048783588623,0.825278365170453,0.822033956930619,0.948131084811655,0.833668494258563,0.831084226615959,0.456748432900175,0.386094366345215,0.517710651908352,-0.320329257165588,0.480013478299666,0.234368074311162,0.0591473177704524,0.316031656362462,0.243707818417446,0.86616536509699,-0.0644402177701122,0.623814680770358,-0.107426827948026,0.227387384330598
"K",0.288692821518125,-0.00475301857024923,0.29288960210845,0.432134018799525,0.357648968881307,-0.177531375056206,0.0835353370768587,0.169534233473644,0.59253000198285,0.263435804520137,0.783869978568517,0.430990596485907,-0.490823790472387,0.0138254948151142,0.788481133656795,0.780048783588623,1,0.775760220094571,0.761174723652343,0.769351241525637,0.67131040087732,0.585598332318439,0.644073295405247,0.362591630953991,0.573192167360279,-0.0582106344819059,0.475605553812257,0.313639772802966,0.275830602070319,0.605318231917995,0.584881237157096,0.663322430066826,0.199608663804243,0.755058896316911,-0.0331888646608584,0.476580291439066
